stationID,name,longitude,latitude
268,"Howard St & Centre St",-73.99973337,40.71910537
303,"Mercer St & Spring St",-73.99949601,40.72362738
482,"W 15 St & 7 Ave",-73.99931783,40.73935542
3259,"9 Ave & W 28 St",-73.99923384189606,40.74937024193277
3315,"Henry St & Degraw St",-73.99917254,40.6847514
453,"W 22 St & 8 Ave",-73.99915362,40.74475148
336,"Sullivan St & Washington Sq",-73.99906065,40.73047747
3386,"1 Pl & Clinton St",-73.99905709,40.6809591
478,"11 Ave & W 41 St",-73.99884222,40.76030096
3397,"Court St & Nelson St",-73.99869893,40.6763947
252,"MacDougal St & Washington Sq",-73.99852205,40.73226398
308,"St James Pl & Oliver St",-73.99851193,40.71307916
161,"LaGuardia Pl & W 3 St [temporarily removed]",-73.99810231,40.72917025
254,"W 11 St & 6 Ave",-73.99800419,40.73532427
448,"W 37 St & 10 Ave",-73.9979009,40.75660359
3398,"Smith St & 9 St",-73.99785768,40.6746957
3321,"Clinton St & Union St",-73.99785267,40.6831164
3712,"W 35 St & Dyer Ave",-73.99740189313889,40.754691750226016
334,"W 20 St & 7 Ave",-73.99726235,40.74238787
151,"Cleveland Pl & Spring St",-73.99724900722504,40.722103786686034
494,"W 26 St & 8 Ave",-73.99723551,40.74734825
3782,"Brooklyn Bridge Park - Pier 2",-73.997178,40.698458
2009,"Catherine St & Monroe St",-73.99682619,40.71117444
3786,"Division St & Bowery",-73.996732,40.714193
508,"W 46 St & 11 Ave",-73.99667444,40.76341379
3260,"Mercer St & Bleecker St",-73.99662137031554,40.72706363348306
3308,"Kane St & Clinton St",-73.99645295,40.6861758
3709,"W 15 St & 6 Ave",-73.99642959237099,40.738046142482766
157,"Henry St & Atlantic Ave",-73.99612349,40.69089272
3384,"Smith St & 3 St",-73.99599099,40.6787242
3435,"Grand St & Elizabeth St",-73.99596,40.718822
406,"Hicks St & Montague St",-73.99595065,40.69512845
250,"Lafayette St & Jersey St",-73.99565293,40.72456089
216,"Columbia Heights & Cranberry St",-73.99548059,40.70037867
